LGROUP,MGROUP,SGROUP,DGROUP,LGROUP_NAME,MGROUP_NAME,SGROUP_NAME,DGROUP_NAME,LMSD_CODE
70,02,01,02,"식품","신선식품/가공식품","간편/즉석식품","기타 간편/즉석식품",70020102
70,02,01,03,"식품","신선식품/가공식품","간편/즉석식품","덮밥/덮밥소스",70020103
70,02,01,04,"식품","신선식품/가공식품","간편/즉석식품","만두/딤섬",70020104
70,02,01,05,"식품","신선식품/가공식품","간편/즉석식품","분말짜장/카레",70020105
70,02,01,06,"식품","신선식품/가공식품","간편/즉석식품","샐러드",70020106
70,02,01,07,"식품","신선식품/가공식품","간편/즉석식품","스프",70020107
70,02,01,08,"식품","신선식품/가공식품","간편/즉석식품","시리얼",70020108
70,02,01,09,"식품","신선식품/가공식품","간편/즉석식품","죽",70020109
70,02,01,10,"식품","신선식품/가공식품","간편/즉석식품","즉석국",70020110
70,02,01,11,"식품","신선식품/가공식품","간편/즉석식품","즉석밥",70020111
70,02,01,12,"식품","신선식품/가공식품","간편/즉석식품","즉석짜장/카레",70020112
70,02,01,13,"식품","신선식품/가공식품","간편/즉석식품","피자/햄버거",70020113
70,02,01,14,"식품","신선식품/가공식품","간편/즉석식품","핫도그",70020114
70,02,02,01,"식품","신선식품/가공식품","건어물/김/해초류","건새우",70020201
70,02,02,02,"식품","신선식품/가공식품","건어물/김/해초류","건어물 세트",70020202
70,02,02,03,"식품","신선식품/가공식품","건어물/김/해초류","과메기",70020203
70,02,02,04,"식품","신선식품/가공식품","건어물/김/해초류","기타 건어물",70020204
70,02,02,05,"식품","신선식품/가공식품","건어물/김/해초류","기타 해초류",70020205
70,02,02,06,"식품","신선식품/가공식품","건어물/김/해초류","김",70020206
70,02,02,07,"식품","신선식품/가공식품","건어물/김/해초류","노가리",70020207
70,02,02,08,"식품","신선식품/가공식품","건어물/김/해초류","다시마",70020208
70,02,02,09,"식품","신선식품/가공식품","건어물/김/해초류","마른오징어",70020209
70,02,02,10,"식품","신선식품/가공식품","건어물/김/해초류","매생이",70020210
70,02,02,11,"식품","신선식품/가공식품","건어물/김/해초류","멸치",70020211
70,02,02,12,"식품","신선식품/가공식품","건어물/김/해초류","명태",70020212
70,02,02,13,"식품","신선식품/가공식품","건어물/김/해초류","미역",70020213
70,02,02,14,"식품","신선식품/가공식품","건어물/김/해초류","북어",70020214
70,02,02,15,"식품","신선식품/가공식품","건어물/김/해초류","오징어채/진미채",70020215
70,02,02,16,"식품","신선식품/가공식품","건어물/김/해초류","쥐포",70020216
70,02,02,17,"식품","신선식품/가공식품","건어물/김/해초류","한치",70020217
70,02,02,18,"식품","신선식품/가공식품","건어물/김/해초류","황태",70020218
70,02,03,01,"식품","신선식품/가공식품","견과","견과 혼합세트",70020301
70,02,03,02,"식품","신선식품/가공식품","견과","기타 견과",70020302
70,02,03,03,"식품","신선식품/가공식품","견과","땅콩",70020303
70,02,03,04,"식품","신선식품/가공식품","견과","마카다미아",70020304
70,02,03,05,"식품","신선식품/가공식품","견과","밤",70020305
70,02,03,06,"식품","신선식품/가공식품","견과","아몬드",70020306
70,02,03,07,"식품","신선식품/가공식품","견과","은행",70020307
70,02,03,08,"식품","신선식품/가공식품","견과","잣",70020308
70,02,03,09,"식품","신선식품/가공식품","견과","캐슈넛",70020309
70,02,03,10,"식품","신선식품/가공식품","견과","피스타치오",70020310
70,02,03,11,"식품","신선식품/가공식품","견과","피칸",70020311
70,02,03,12,"식품","신선식품/가공식품","견과","해바라기씨",70020312
70,02,03,13,"식품","신선식품/가공식품","견과","호두",70020313
70,02,03,14,"식품","신선식품/가공식품","견과","호박씨",70020314
70,02,04,01,"식품","신선식품/가공식품","과일/건과","건과 혼합세트",70020401
70,02,04,02,"식품","신선식품/가공식품","과일/건과","건망고",70020402
70,02,04,03,"식품","신선식품/가공식품","과일/건과","건바나나",70020403
70,02,04,04,"식품","신선식품/가공식품","과일/건과","건자두",70020404
70,02,04,05,"식품","신선식품/가공식품","과일/건과","건포도",70020405
70,02,04,06,"식품","신선식품/가공식품","과일/건과","곶감",70020406
70,02,04,07,"식품","신선식품/가공식품","과일/건과","과일 혼합세트",70020407
70,02,04,08,"식품","신선식품/가공식품","과일/건과","귤",70020408
70,02,04,09,"식품","신선식품/가공식품","과일/건과","기타 건과/말린과일",70020409
70,02,04,10,"식품","신선식품/가공식품","과일/건과","기타 과일",70020410
70,02,04,11,"식품","신선식품/가공식품","과일/건과","사과/배",70020411
70,02,04,12,"식품","신선식품/가공식품","과일/건과","귤/오렌지/한라봉",70020412
70,02,04,13,"식품","신선식품/가공식품","과일/건과","포도",70020413
70,02,04,14,"식품","신선식품/가공식품","과일/건과","토마토",70020414
70,02,04,15,"식품","신선식품/가공식품","과일/건과","바나나",70020415
70,02,04,16,"식품","신선식품/가공식품","과일/건과","메론",70020416
70,02,04,17,"식품","신선식품/가공식품","과일/건과","단감/홍시/곶감",70020417
70,02,04,18,"식품","신선식품/가공식품","과일/건과","레몬/자몽",70020418
70,02,04,19,"식품","신선식품/가공식품","과일/건과","리치/망고",70020419
70,02,04,20,"식품","신선식품/가공식품","과일/건과","석류",70020420
50,01,04,01,"생활/건강","생활/건강/욕실/애완","미싱/미싱용품","미싱",50010401
50,01,04,02,"생활/건강","생활/건강/욕실/애완","미싱/미싱용품","재봉소품",50010402
50,01,05,01,"생활/건강","생활/건강/욕실/애완","방향/탈취/제습용품","방향제/디퓨져",50010501
50,01,05,02,"생활/건강","생활/건강/욕실/애완","방향/탈취/제습용품","섬유탈취제/악취제거",50010502
50,01,05,03,"생활/건강","생활/건강/욕실/애완","방향/탈취/제습용품","제습용품",50010503
50,01,05,04,"생활/건강","생활/건강/욕실/애완","방향/탈취/제습용품","아로마캔들/향초",50010504
50,01,06,01,"생활/건강","생활/건강/욕실/애완","보일러/방한/방풍용품","문풍지/바람막이",50010601
50,01,06,02,"생활/건강","생활/건강/욕실/애완","보일러/방한/방풍용품","방풍비닐/에어캡",50010602
50,01,06,03,"생활/건강","생활/건강/욕실/애완","보일러/방한/방풍용품","보일러",50010603
50,01,06,04,"생활/건강","생활/건강/욕실/애완","보일러/방한/방풍용품","온열방석",50010604
50,01,06,05,"생활/건강","생활/건강/욕실/애완","보일러/방한/방풍용품","핫팩/손난로/방한용품",50010605
50,01,07,01,"생활/건강","생활/건강/욕실/애완","비데/정수기/반신욕","렌탈비데",50010701
50,01,07,02,"생활/건강","생활/건강/욕실/애완","비데/정수기/반신욕","렌탈정수기",50010702
50,01,07,03,"생활/건강","생활/건강/욕실/애완","비데/정수기/반신욕","반신욕조/반신욕기",50010703
50,01,07,04,"생활/건강","생활/건강/욕실/애완","비데/정수기/반신욕","비데",50010704
50,01,07,05,"생활/건강","생활/건강/욕실/애완","비데/정수기/반신욕","연수기/온수기",50010705
50,01,07,06,"생활/건강","생활/건강/욕실/애완","비데/정수기/반신욕","정수기",50010706
50,01,07,07,"생활/건강","생활/건강/욕실/애완","비데/정수기/반신욕","필터류",50010707
50,01,08,01,"생활/건강","생활/건강/욕실/애완","생리대/성인기저귀","면/유기농생리대",50010801
50,01,08,02,"생활/건강","생활/건강/욕실/애완","생리대/성인기저귀","물티슈",50010802
50,01,08,03,"생활/건강","생활/건강/욕실/애완","생리대/성인기저귀","생리대",50010803
50,01,08,04,"생활/건강","생활/건강/욕실/애완","생리대/성인기저귀","성인기저귀",50010804
50,01,08,05,"생활/건강","생활/건강/욕실/애완","생리대/성인기저귀","팬티라이너",50010805
50,01,09,01,"생활/건강","생활/건강/욕실/애완","생활/주방/욕실선반","다용도/메탈 선반",50010901
50,01,09,02,"생활/건강","생활/건강/욕실/애완","생활/주방/욕실선반","벽걸이/흡착선반",50010902
50,01,09,03,"생활/건강","생활/건강/욕실/애완","생활/주방/욕실선반","선반/메탈렉",50010903
50,01,09,04,"생활/건강","생활/건강/욕실/애완","생활/주방/욕실선반","세탁기 선반",50010904
50,01,09,05,"생활/건강","생활/건강/욕실/애완","생활/주방/욕실선반","씽크인 선반",50010905
50,01,09,06,"생활/건강","생활/건강/욕실/애완","생활/주방/욕실선반","욕실선반",50010906
50,01,09,07,"생활/건강","생활/건강/욕실/애완","생활/주방/욕실선반","코너 선반",50010907
50,01,09,08,"생활/건강","생활/건강/욕실/애완","생활/주방/욕실선반","화분 선반",50010908
