index	sugar_PH
7000	2.3/3.5
1	1.9/3.51
2	2.6/3.2
6498	2.3/3.26
4	1.9/3.16
5	1.9/3.51
6	1.8/3.51
7	1.6/3.3
8	1.2/3.39
9	2/3.36
6499	6.1/3.35
11	1.8/3.28
12	6.1/3.35
13	1.6/3.58
14	1.6/3.26
15	3.8/3.16
16	3.9/3.17
17	1.8/3.3
18	1.7/3.11
19	4.4/3.38
20	1.8/3.04
21	1.8/3.39
22	2.3/3.52
23	1.6/3.17
24	2.3/3.17
25	2.4/3.43
26	1.4/3.34
27	1.8/3.28
28	1.6/3.17
29	1.9/3.47
30	2/3.38
31	2.4/3.35
32	2.5/3.46
33	2.3/3.17
34	10.7/3.45
35	1.8/3.38
36	5.5/3.4
37	2.4/3.42
38	2.1/3.23
39	1.5/3.5
40	5.9/3.33
41	5.9/3.33
42	2.8/3.26
43	2.6/3.21
44	2.2/3.3
45	1.8/3.48
46	2.1/3.9
47	2.2/3.25
48	1.6/3.25
49	1.6/3.34
50	1.4/3.32
51	1.7/3.15
52	2.2/3.4
53	2.1/3.39
54	3/3.2
55	2.8/3.17
56	3.8/3.34
57	3.4/3.04
58	5.1/3.26
59	2.3/3.43
60	2.4/3.41
61	2.2/3.44
62	1.8/3.21
63	1.9/3.38
64	2/3.39
65	4.65/3.41
66	4.65/3.41
67	1.5/3.42
68	1.6/3.44
69	2/3.28
70	1.9/3.34
71	1.9/3.32
72	2.1/3.32
73	1.9/3.31
74	2.1/3.31
75	2.5/3.28
76	2.2/3.54
77	2.2/3.54
78	2.4/3.52
79	2/3.38
80	1.5/3.16
81	1.6/3.41
82	1.9/3.13
83	2/3.36
84	1.8/3.16
85	1.8/3.44
86	2.2/3.41
87	1.9/2.93
88	1.9/3.39
89	2.1/3.14
90	1.8/3.48
91	1.9/3.23
92	1.9/2.93
93	2/2.93
94	1.9/3.39
95	1.4/3.75
96	2.3/3.85
97	3/3.45
98	2/3.25
99	2.5/3.39
100	1.9/3.3
101	2.1/3.4
102	1.9/3.31
103	1.9/3.3
104	2.1/3.29
105	2.2/3.33
106	2.1/3.29
107	1.7/3.08
108	1.7/3.46
109	2.5/3.37
110	2/3.21
111	1.8/3.19
112	2.2/3.15
113	2.2/3.15
114	2.3/3.32
115	1.8/3.19
116	2.2/3.07
117	1.9/3.39
118	2/3.37
119	2.2/3.21
120	1.8/3.34
121	1.7/3.3
122	2.2/3.21
123	2.5/3.49
124	2.6/3.44
125	1.6/3.39
126	1.9/3.16
127	1.7/3.53
128	1.8/3.54
129	1.8/3.42
130	1.8/3.42
131	2/3.24
132	2.3/3.63
133	2.3/3.63
134	1.5/3.4
135	2.2/3.22
136	1.9/3.19
137	1.8/3.23
138	2/3.48
139	2.1/3.33
140	2/3.32
141	1.9/3.19
142	1.8/3.23
143	1.8/3.68
144	1.7/3.34
145	1.8/3.68
146	1.8/3.17
147	1.8/3.54
148	1.6/3.11
149	2.3/3.42
150	2.8/3.53
151	2.1/3.33
152	3.4/2.74
153	1.8/3.35
154	1.8/3.35
155	5.5/3.42
156	5.5/3.42
157	5.5/3.42
158	5.5/3.42
159	2.2/3.48
160	1.9/3.59
161	2/3.2
162	1.3/3.17
163	1.7/3.33
164	7.3/3.37
165	7.2/3.37
166	1.7/3.19
167	2.1/3.34
168	1.6/3.37
169	2.1/3.47
170	1.8/3
171	1.8/3.36
172	2/3.29
173	2/3.29
174	1.9/3.42
175	2/3.33
176	1.5/3.35
177	2/3.33
178	2.3/3.58
179	2.5/3.48
180	2.4/3.19
181	2.4/3.19
182	2/3.12
183	2.5/3.44
184	1.8/3.54
185	1.9/3.52
186	2/3.26
187	2/3.34
188	2.6/3.39
189	2/3.2
190	1.9/3.2
191	2.9/3.23
192	1.9/3.57
193	3.8/3.28
194	2.2/3.28
195	2.2/3.28
196	2/3.25
197	2.4/3.46
198	2/3.11
199	1.2/3.57
200	2.1/3.51
201	1.4/3.22
202	2.1/3.04
203	1.5/3.36
204	1.6/3.34
205	1.6/3.34
206	2.6/3.2
207	2.6/3.2
208	1.8/3.29
209	2.7/3.22
210	2.1/3.31
211	2/3.3
212	2.8/3.35
213	2.1/3.21
214	2.2/3.3
215	2.4/3.24
216	5.6/3.34
217	2/3.14
218	2.2/3.36
219	1.9/3.39
220	2.4/3.3
221	2/3.34
222	2/3.15
223	1.5/3.42
224	2/3.28
225	2/3.31
226	2.6/3.37
227	2/3.04
228	2.6/3.39
229	2.6/3.37
230	2.6/3.46
231	1.6/3.54
232	1.8/3.37
233	2.8/3.34
234	2.6/3.46
235	2.3/3.32
236	1.9/3.37
237	1.9/3.37
238	1.9/3.37
239	1.9/3.37
240	2.3/3.32
241	1.7/3
242	2.1/3.14
243	1.8/3.08
244	2.2/3.07
245	2.2/3.07
246	2/3.61
247	1.9/3.38
248	2.3/3.2
249	1.7/3.35
250	2/3.61
251	1.6/3.22
252	1.8/3.47
253	3.1/3.17
254	1.9/3.23
255	1.8/3.47
256	3.2/3.26
257	2.2/3.22
258	2.1/3.49
259	1.8/3.06
260	2.6/3.36
261	1.7/3.29
262	2/3.35
263	1.7/3.34
264	1.8/3.28
265	2.4/3.08
266	1.8/3.2
267	3.3/3.6
268	3.6/3.35
269	3/3.69
270	4/3.28
271	4/3.36
272	4/3.28
273	4/3.22
274	2.4/3.31
275	7/3.38
276	4/3.36
277	3/3.69
278	4/3.28
279	6.4/3.23
280	5.6/3.38
281	3.6/3.12
282	3.5/3.25
283	3/3.36
284	5.6/3.38
285	3.4/3.31
286	3.4/3.31
287	2/3.1
288	3/3.37
289	2.5/3.34
290	3.3/3.2
291	2.5/3.34
292	2/3.3
293	2.7/3.22
294	2.4/3.41
295	3.2/3.05
296	2.5/3.05
297	2.6/3.16
298	2/3.67
299	2.3/3.67
300	2.1/3.68
301	2.6/3.38
302	1.5/3.22
303	2.6/3.51
304	1.6/3.39
305	2.1/3.2
306	2.5/3.12
307	2.2/3.36
308	2.4/3.19
309	2.4/3.19
310	1.7/3.41
311	2.5/3.12
312	2/3.27
313	2.8/3.32
314	3/3.3
315	2.6/3.39
316	2.5/3.42
317	3.4/3.3
318	2.9/3.3
319	3.2/3.37
320	2.9/3.3
321	3.2/3.37
322	3.4/3.24
323	2.3/3.29
324	2.8/3.28
325	11/3.16
326	11/3.16
327	3.65/3.05
328	4.5/3.28
329	2.6/3.16
330	2/3.18
331	2.9/3.23
332	2.9/3.23
333	3.2/3.22
334	2.1/3.13
335	2.5/3.34
336	3.4/3.17
337	1.9/3.35
338	2.8/3.31
339	3/3.16
340	2.3/3.11
341	2.4/3.12
342	2.7/3.21
343	1.8/3.3
344	1.8/3.3
345	2.6/3.12
346	1.9/3.6
347	2.7/3.58
348	3/3.02
349	2.8/3.11
350	2.6/3.36
351	2.7/3.28
352	2.6/3.35
353	2.4/3.27
354	4.8/3.18
355	1.4/3.25
356	2.4/3.55
357	3/3.26
358	2.95/3.24
359	3.1/3.15
360	2.6/3.17
361	2/3.19
362	2.6/3.37
363	2.5/3.05
364	2/2.99
365	5.8/3.07
366	3.4/3.26
367	5.8/3.07
368	2.6/3.16
369	2.8/3.18
370	2.4/3.2
371	2.3/3.57
372	1.6/3.32
373	1.8/3.32
374	2.2/3.05
375	3.8/3.01
376	4.4/3.01
377	3/3.26
378	2.4/3.2
379	6.2/3.11
380	2.5/3.31
381	2/3.21
382	2.9/3.06
383	2/3.21
384	2/3.21
385	2.1/3.42
386	2.4/3.43
387	2/3.41
388	1.9/3.31
389	1.9/3.43
390	2.5/3.19
391	1.4/3.56
392	2.9/3.06
393	2/3.18
394	2/3.16
395	2.3/3.03
396	4.2/3.22
397	7.9/3.47
398	2.6/3.18
399	2.6/3.18
400	2.3/3.1
401	7.9/3.47
402	1.7/3.29
403	2.6/3.1
404	2.7/3.15
405	2.7/3.26
406	1.4/3.36
407	2.5/3.24
408	3/3.18
409	3.7/3.19
410	4.5/3.05
411	2.5/3.38
412	2.4/3.38
413	1.9/3.27
414	6.7/3.27
415	2.7/3.26
416	6.6/3.32
417	2.2/3.26
418	1.9/3.44
419	2/3.24
420	1.8/3.62
421	2.4/3.28
422	2.3/3.52
423	2/3.36
424	2.1/3.15
425	2/3.36
426	2.3/3.52
427	2.1/3.49
428	1.9/3.26
429	1.3/3.24
430	2.4/3.1
431	2.1/3.15
432	2.2/3.25
433	2.3/3
434	2.3/3.16
435	3.2/3.15
436	2.3/3.16
437	2/3.26
438	3.2/3.17
439	3.2/3.15
440	1.5/3.08
441	2.2/2.88
442	2.15/3.06
443	3.7/2.95
444	2.7/3.23
445	1.7/3.57
446	2.1/3.23
447	2.6/3.1
448	2.1/3.22
449	2/3.2
450	2.8/3.1
451	2.8/3.1
452	1.8/3.06
453	1.7/3.44
454	2.8/3.26
455	1.6/3.5
456	5.2/3.22
457	2.3/3.37
458	2.7/3.28
459	2.8/3.26
460	2.2/3.25
461	2.3/3.35
462	2.6/3.26
463	2.55/3.18
464	2.2/3.08
465	2.1/2.98
466	2.9/3.48
467	2/3.16
468	2.6/3.32
469	2.1/3.17
470	1.2/3.2
471	2.6/3.05
472	2.4/3.2
473	2.6/3.15
474	2.1/3.26
475	1.7/3.2
476	2.2/3.14
477	2/3.28
478	1.8/3.18
479	2.2/3.14
480	2.7/3.19
481	15.5/3.12
482	2.8/3.15
483	2.2/3.04
484	2.2/3.04
485	4.1/3.06
486	1.9/3.17
487	1.9/3.17
488	1.8/3.17
489	2.8/3.32
490	2.6/3.34
491	2.8/3.31
492	2.5/3.34
493	2.6/3.32
494	3/3.48
495	8.3/3.44
496	2.6/3.15
497	1.9/3.43
498	2.5/3.32
499	2.6/3.15
500	3/3.48
501	1.9/3.43
502	6.55/3.17
503	6.55/3.17
504	1.9/3.18
505	1.8/3.21
506	2.9/3.16
507	1.8/3.25
508	2.3/3.17
509	2.2/3.18
510	2.8/3.04
511	4.6/3.02
512	2.2/3.18
513	2.1/3.03
514	2.4/3.09
515	2.4/3.09
516	6.1/3.31
517	4.3/3.25
518	2.1/3.16
519	2.8/3.22
520	2.5/3.36
521	2.7/3.42
522	2/3.48
523	2.3/3.38
524	2.5/3.22
525	2.4/3.23
526	2.8/3.24
527	2.5/3.36
528	2.5/3.39
529	2.6/3.34
530	2.4/3.09
531	2.1/3.41
532	2.7/3.16
533	2.7/3.16
534	2.1/3.22
535	2.7/3.28
536	2.1/3.41
537	2.4/3.09
538	2.1/3.37
539	5.8/3.2
540	5.15/3.22
541	3.3/3.26
542	6.3/3.21
543	2.1/3.12
544	2.5/3.06
545	1.8/2.86
546	2.6/3.08
547	2/3.45
548	2.5/3.26
549	2.6/3.12
550	1.9/3.27
551	2.1/3.33
552	2.8/3.19
553	2.7/3.12
554	1.6/3.74
555	4.2/2.92
556	4.2/2.92
557	4.6/3.07
558	4.2/2.92
559	4.6/3.07
560	4.3/3.3
561	2.8/3.14
562	2.4/3.23
563	2.9/3.08
564	2.7/3.31
565	4.3/3.3
566	2.8/3.14
567	2.5/3.32
568	2.5/3.32
569	2.6/3.31
570	2.2/3.57
571	3.3/3.32
572	2.2/3.57
573	2.4/3.14
574	2.1/3.3
575	3.2/3.19
576	3.1/3.2
577	2.3/3.34
578	2.8/3.3
579	2.9/3.29
580	2.2/3.14
581	2.2/3.19
582	2.2/3.19
583	2.2/3.19
584	1.9/2.98
585	3.4/3.3
586	2.4/3.47
587	2.7/3.12
588	1.9/3.26
589	2/3.72
590	2.6/3.05
591	2.6/3.35
592	1.7/3.12
593	2.6/3.35
594	3.5/3.29
595	2.6/3.4
596	7.9/3.27
597	2/3.04
598	1.9/3.09
599	2.1/3.2
600	2.3/3
601	2.1/3.26
602	2.2/3.1
603	2.6/3.3
604	2.2/3.1
605	2.9/3.17
606	2.6/3.31
607	4.6/3.34
608	3.3/3.31
609	5.1/3.32
610	3.2/3.56
611	2.5/3.39
612	2.7/2.98
613	2.4/3.32
614	1.5/3.26
615	2.2/2.87
616	2.3/3.5
617	2.3/3.5
618	2.2/3.03
619	2.7/3.13
620	2.3/3.09
621	3.4/3.27
622	3.4/3.28
623	1.9/3.13
624	2.9/3.49
625	5.6/3.46
626	5.6/3.46
627	2.2/3.36
628	2.2/3.36
629	2.5/3.27
630	2.3/3.21
631	2.5/3.27
632	2.7/3.25
633	3/3.32
634	3.4/3.43
635	1.9/3.27
636	1.4/3.27
637	2.4/3.24
638	2.3/3.24
639	2.2/3.35
640	1.9/3.18
641	2.3/3.39
642	2.3/3.46
643	2.3/3.39
644	2.3/3.46
645	2.3/3.39
646	6/3.37
647	3.6/3.4
648	2.2/3.32
649	2.8/3.33
650	8.6/3.16
651	2.2/2.89
652	2.5/3.41
653	7.5/2.98
654	2.8/3.12
655	2.4/3.08
656	2.9/3.14
657	2.2/2.89
658	1.4/2.92
659	1.4/3.32
660	4.4/3.41
661	1.4/3.32
662	1.6/3.31
663	1.6/3.36
664	1.8/3.04
665	2/3.03
666	2/3.14
667	1.8/3.18
668	2/2.94
669	2.3/3.15
670	2/2.94
671	2.5/3.26
672	1.7/3.2
673	2/3.15
674	1.7/3.2
675	2.2/3.08
676	2.2/3.26
677	2.2/3.08
678	2.3/3.4
679	2.6/3.48
680	3.3/3.13
681	1.9/3.06
682	2.2/3.21
683	2.25/3.33
684	2.6/3.37
685	2.3/3.25
686	2.6/3.37
687	1.8/3.44
688	3.1/3.28
689	1.6/3.4
690	1.8/3.3
691	4.25/3.63
692	2.6/3.48
693	2/3.03
694	2.8/3.32
695	2.7/3.31
696	1.3/3.9
697	2.1/3.47
698	2.1/3.47
699	3.2/3.31
700	2.1/3.11
701	2.9/3.08
702	2.1/3.47
703	2.1/3.47
704	2.6/3.32
705	1.6/3.29
706	6/3.37
707	2/3.4
708	3/3.37
709	2.5/3.34
710	1.6/3.27
711	2.8/3.06
712	3/3.38
713	3.2/3.36
714	2.3/3.34
715	2.6/3.28
716	2.7/3.29
717	2.3/3.34
718	2.6/3.21
719	2/3.22
720	3.9/3.46
721	2/3.22
722	2.85/3.1
723	2.7/3.21
724	2.2/2.94
725	3.1/3.54
726	3/3.29
727	2.8/3.43
728	1.8/3.46
729	1.8/3.46
730	3.2/3.61
731	2.3/3.17
732	3.45/3.44
733	2.1/3.39
734	2.7/3.55
735	2/3.48
736	2.1/3.26
737	2.1/3.26
738	2.5/3.5
739	2.8/3.1
740	2.4/3.35
741	4.2/3.45
742	2.6/3.21
743	1.9/3.46
744	2.8/3.13
745	2.7/3.13
746	2.1/3.52
747	2.5/3.3
748	2.6/3.3
749	2.1/3.52
750	2.1/3.52
751	2.9/3.29
752	2.9/3.29
753	2.5/3.39
754	2.9/3.29
755	1.7/3.09
756	1.9/3.51
757	2/3.6
758	2.2/3.25
759	2.2/3.25
760	2.5/3.19
761	2.8/3.23
762	2/3.25
763	1.7/3.31
764	2/3.25
765	2.8/3.31
766	3/3.31
767	2.9/3.14
768	2.7/3.45
769	2.3/3.55
770	1.9/3.39
771	2.3/3.55
772	2.4/3.28
773	2.3/3.27
774	1.8/3.3
775	1.8/3.31
776	3/3.43
777	2.4/3.4
778	2.4/3.4
779	3.4/3.36
780	2.6/3.5
781	2/3.31
782	2.4/3.66
783	2.4/3.36
784	2.4/3.66
785	2.5/3.55
786	2.3/3.21
787	2.3/3.21
788	2.2/3.18
789	2.2/3.18
790	2.9/3.09
791	2.6/3.33
792	2.9/3.23
793	2.5/3.48
794	2.6/3.38
795	2.3/3.17
796	2.6/2.99
797	2.5/3.1
798	1.6/3.24
799	3.6/3.29
800	3.6/3.29
801	4/3.25
802	3.3/3.23
803	1.7/3.56
804	2.5/3.24
805	2.7/3.26
806	2.4/3.33
807	2/3.27
808	2.4/3.33
809	1.9/3.26
810	2.8/3.22
811	2.6/3.3
812	2.8/3.09
813	2.5/3.24
814	2.1/3.44
815	2.8/3.21
816	2.5/3.24
817	3.2/3.23
818	1.6/3.28
819	2.35/3.29
820	3.2/3.28
821	1.9/3.34
822	2.1/3.71
823	2/3.61
824	2/3.61
825	2.8/3.24
826	2.8/3.36
827	2.3/3.4
828	2.8/3.36
829	2.3/3.46
830	2.1/3.56
831	2.5/3.38
832	2.1/3.56
833	1.5/3.38
834	1.6/3.38
835	1.6/3.32
836	1.5/3.39
837	2.4/3.26
838	2.4/3.26
839	1.6/3.24
840	2.2/3.46
841	2.65/3.24
842	3/3.45
843	2.6/3.23
844	2/3.28
845	1.7/3.18
846	1.8/3.59
847	1.8/3.59
848	1.8/3.5
849	1.8/3.59
850	1.6/3.58
851	1.9/3.28
852	1.9/3.28
853	2.5/3.22
854	1.5/3.47
855	1.5/3.47
856	2.5/3.51
857	1.5/3.47
858	2.5/3.4
859	1.7/3.15
860	1.8/3.4
861	2.7/3.51
862	2/3.66
863	2.7/3.24
864	2.5/3.51
865	2.7/3.51
866	2.6/3.51
867	2.3/3.41
868	2/3.4
869	1.8/3.4
870	2/3.44
871	2.1/3.41
872	1.5/3.53
873	2/3.43
874	1.6/3.23
875	2.1/3.12
876	2.8/3.31
877	2.2/3.4
878	2.1/3.41
879	4/3.22
880	2.5/3.53
881	1.6/3.15
882	2.1/3.48
883	3.1/3.22
884	2.5/3.53
885	4/3.22
886	2.5/3.34
887	2.4/3.33
888	2.6/3.15
889	2.5/3.43
890	6.6/3.22
891	2/3.44
892	2.3/3.53
893	1.9/3.22
894	2.3/3.53
895	2.2/3.53
896	2.3/3.42
897	2.4/3.31
898	2.3/3.42
899	2.4/3.31
900	3.4/3.48
901	2.6/3.4
902	2.4/3.58
903	2.4/3.58
904	6/3.41
905	6/3.41
906	3/3.23
907	2.6/3.39
908	2.2/3.59
909	2.4/3.43
910	1.2/3.29
911	3.8/3.23
912	9/3.18
913	2.9/3.33
914	4.6/3.27
915	1.2/3.29
916	2.2/3.27
917	1.5/3.62
918	8.8/3.38
919	2.2/3.3
920	1.8/3.38
921	2.3/3.24
922	2.2/3.3
923	1.8/3.38
924	8.8/3.38
925	2.3/3.18
926	1.9/3.47
927	2.3/3.47
928	2.2/3.2
929	2.3/3.18
930	3.3/3.3
931	1.9/3.69
932	2/3.48
933	1.9/3.45
934	2/3.48
935	1.9/3.69
936	2.3/3.39
937	2.3/3.39
938	1.4/3.07
939	2.8/3.34
940	1.6/3.61
941	2.2/3.36
942	5/3.19
943	2.6/3.22
944	2.3/3.24
945	3.8/3.27
946	2/3.14
947	4.1/3.29
948	2.1/3.26
949	1.8/3.41
950	1.8/3.41
951	1.8/3.41
952	2.1/3.26
953	2.2/3.31
954	2.1/3.2
955	2.7/3.44
956	1.9/3.36
957	2.1/3.31
958	2/3.29
959	2.3/3.47
960	2/3.36
961	1.9/3.16
962	1.6/3.27
963	2.1/3.38
964	2/3.15
965	1.9/3.16
966	2.4/3.34
967	2.4/3.13
968	2.1/3.13
969	2.4/3.2
970	2.9/3.46
971	1.9/3.33
972	1.9/3.33
973	2.4/3.22
974	1.7/3.52
975	5.9/3.3
976	2.1/3.44
977	2.1/3.44
978	2.6/3.15
979	3.6/3.28
980	1.4/3.13
981	1.9/3.32
982	1.9/3.25
983	2.1/3.34
984	1.9/3.32
985	1.4/3.13
986	2/3.45
987	1.4/3.19
988	1.6/3.44
989	1.7/3.16
990	1.5/3.14
991	1.7/3.16
992	2/3.45
