일자,본사정원수,본사휴가자수,본사출장자수,본사시간외근무명령서승인건수,현본사소속재택근무자수,중식계,석식계,식사가능인원,중식결식,석식결식,중식강수여부,중식기온,중식강수량,석식강수여부,석식기온,석식강수량,확진자수,휴일전날,휴일다음날,월_1,월_2,월_3,월_4,월_5,월_6,월_7,월_8,월_9,월_10,월_11,월_12,요일_금,요일_목,요일_수,요일_월,요일_화,국분류_국,국분류_국수,국분류_스프,국분류_죽,국분류_찌개,국분류_탕,메뉴분류_기타,메뉴분류_육류,메뉴분류_조류,메뉴분류_해산물
2016-02-01,2601,50,150,238,0.0,1039.0,331.0,2401.0,1362.0,2070.0,0.0,3.0,0.0,0.0,0.9,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-02-02,2601,50,173,319,0.0,867.0,560.0,2378.0,1511.0,1818.0,0.0,1.7,0.0,0.0,2.4,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-02-03,2601,56,180,111,0.0,1017.0,573.0,2365.0,1348.0,1792.0,0.0,3.2,0.0,0.0,3.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2016-02-04,2601,104,220,355,0.0,978.0,525.0,2277.0,1299.0,1752.0,0.0,3.7,0.0,0.0,4.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2016-02-05,2601,278,181,34,0.0,925.0,330.0,2142.0,1217.0,1812.0,0.0,6.3,0.0,0.0,5.7,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2016-02-11,2601,383,143,417,0.0,1045.0,550.0,2075.0,1030.0,1525.0,0.0,10.7,0.0,0.0,11.8,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-02-12,2601,389,156,93,0.0,909.0,598.0,2056.0,1147.0,1458.0,1.0,7.7,9.4,1.0,11.7,20.4,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-02-15,2601,87,204,482,0.0,1268.0,672.0,2310.0,1042.0,1638.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-02-16,2601,72,236,526,0.0,1014.0,523.0,2293.0,1279.0,1770.0,0.0,3.6,0.0,0.0,3.8,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2016-02-17,2601,78,250,23,0.0,916.0,588.0,2273.0,1357.0,1685.0,0.0,5.0,0.0,0.0,5.1,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-02-18,2601,77,254,367,0.0,910.0,489.0,2270.0,1360.0,1781.0,0.0,6.8,0.0,0.0,7.7,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2016-02-19,2601,145,252,69,0.0,763.0,597.0,2204.0,1441.0,1607.0,0.0,9.5,0.0,0.0,9.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2016-02-22,2601,90,207,434,0.0,1298.0,645.0,2304.0,1006.0,1659.0,0.0,5.2,0.0,0.0,6.1,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-02-23,2601,57,237,488,0.0,899.0,610.0,2307.0,1408.0,1697.0,0.0,10.3,0.0,0.0,8.3,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-02-24,2601,54,232,14,0.0,1022.0,514.0,2315.0,1293.0,1801.0,0.0,4.6,0.0,0.0,4.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-02-25,2601,56,261,335,0.0,917.0,531.0,2284.0,1367.0,1753.0,0.0,4.7,0.0,0.0,5.3,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-02-26,2601,144,278,42,0.0,766.0,585.0,2179.0,1413.0,1594.0,0.0,7.5,0.0,0.0,6.7,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-02-29,2601,595,168,110,0.0,869.0,344.0,1838.0,969.0,1494.0,0.0,1.2,0.0,0.0,-1.1,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2016-03-02,2624,127,182,261,0.0,1127.0,631.0,2315.0,1188.0,1684.0,0.0,8.0,0.0,0.0,9.2,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2016-03-03,2624,61,224,351,0.0,1000.0,473.0,2339.0,1339.0,1866.0,0.0,11.6,0.0,0.0,13.1,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2016-03-04,2624,83,247,79,0.0,837.0,673.0,2294.0,1457.0,1621.0,1.0,8.2,4.5,1.0,9.1,20.3,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-03-07,2624,50,195,456,0.0,1326.0,625.0,2379.0,1053.0,1754.0,0.0,12.4,0.0,0.0,13.5,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2016-03-08,2624,47,212,426,0.0,1026.0,609.0,2365.0,1339.0,1756.0,0.0,10.9,0.0,0.0,9.3,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
